orderid;custid;empid;orderdate;requireddate;shippeddate;shipperid;freight;shipname;shipaddress;shipcity;shipregion;shippostalcode;shipcountry
10248;85;5;2006-07-04 00:00:00.000;2006-08-01 00:00:00.000;2006-07-16 00:00:00.000;3;32,38;Ship to 85-B;6789 rue de l'Abbaye;Reims;NULL;10345;France
10249;79;6;2006-07-05 00:00:00.000;2006-08-16 00:00:00.000;2006-07-10 00:00:00.000;1;11,61;Ship to 79-C;Luisenstr. 9012;Münster;NULL;10328;Germany
10250;34;4;2006-07-08 00:00:00.000;2006-08-05 00:00:00.000;2006-07-12 00:00:00.000;2;65,83;Destination SCQXA;Rua do Paço, 7890;Rio de Janeiro;RJ;10195;Brazil
10251;84;3;2006-07-08 00:00:00.000;2006-08-05 00:00:00.000;2006-07-15 00:00:00.000;1;41,34;Ship to 84-A;3456, rue du Commerce;Lyon;NULL;10342;France
10252;76;4;2006-07-09 00:00:00.000;2006-08-06 00:00:00.000;2006-07-11 00:00:00.000;2;51,30;Ship to 76-B;Boulevard Tirou, 9012;Charleroi;NULL;10318;Belgium
10253;34;3;2006-07-10 00:00:00.000;2006-07-24 00:00:00.000;2006-07-16 00:00:00.000;2;58,17;Destination JPAIY;Rua do Paço, 8901;Rio de Janeiro;RJ;10196;Brazil
10254;14;5;2006-07-11 00:00:00.000;2006-08-08 00:00:00.000;2006-07-23 00:00:00.000;2;22,98;Destination YUJRD;Hauptstr. 1234;Bern;NULL;10139;Switzerland
10255;68;9;2006-07-12 00:00:00.000;2006-08-09 00:00:00.000;2006-07-15 00:00:00.000;3;148,33;Ship to 68-A;Starenweg 6789;Genève;NULL;10294;Switzerland
10256;88;3;2006-07-15 00:00:00.000;2006-08-12 00:00:00.000;2006-07-17 00:00:00.000;2;13,97;Ship to 88-B;Rua do Mercado, 5678;Resende;SP;10354;Brazil
10257;35;4;2006-07-16 00:00:00.000;2006-08-13 00:00:00.000;2006-07-22 00:00:00.000;3;81,91;Destination JYDLM;Carrera1234 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;10199;Venezuela
10258;20;1;2006-07-17 00:00:00.000;2006-08-14 00:00:00.000;2006-07-23 00:00:00.000;1;140,51;Destination RVDMF;Kirchgasse 9012;Graz;NULL;10157;Austria
10259;13;4;2006-07-18 00:00:00.000;2006-08-15 00:00:00.000;2006-07-25 00:00:00.000;3;3,25;Destination LGGCH;Sierras de Granada 9012;México D.F.;NULL;10137;Mexico
10260;56;4;2006-07-19 00:00:00.000;2006-08-16 00:00:00.000;2006-07-29 00:00:00.000;1;55,09;Ship to 56-A;Mehrheimerstr. 0123;Köln;NULL;10258;Germany
10261;61;4;2006-07-19 00:00:00.000;2006-08-16 00:00:00.000;2006-07-30 00:00:00.000;2;3,05;Ship to 61-B;Rua da Panificadora, 6789;Rio de Janeiro;RJ;10274;Brazil
10262;65;8;2006-07-22 00:00:00.000;2006-08-19 00:00:00.000;2006-07-25 00:00:00.000;3;48,29;Ship to 65-B;8901 Milton Dr.;Albuquerque;NM;10286;USA
10263;20;9;2006-07-23 00:00:00.000;2006-08-20 00:00:00.000;2006-07-31 00:00:00.000;3;146,06;Destination FFXKT;Kirchgasse 0123;Graz;NULL;10158;Austria
10264;24;6;2006-07-24 00:00:00.000;2006-08-21 00:00:00.000;2006-08-23 00:00:00.000;3;3,67;Destination KBSBN;Åkergatan 9012;Bräcke;NULL;10167;Sweden
10265;7;2;2006-07-25 00:00:00.000;2006-08-22 00:00:00.000;2006-08-12 00:00:00.000;1;55,28;Ship to 7-A;0123, place Kléber;Strasbourg;NULL;10329;France
10266;87;3;2006-07-26 00:00:00.000;2006-09-06 00:00:00.000;2006-07-31 00:00:00.000;3;25,73;Ship to 87-B;Torikatu 2345;Oulu;NULL;10351;Finland
10267;25;4;2006-07-29 00:00:00.000;2006-08-26 00:00:00.000;2006-08-06 00:00:00.000;1;208,58;Destination VAPXU;Berliner Platz 0123;München;NULL;10168;Germany
10268;33;8;2006-07-30 00:00:00.000;2006-08-27 00:00:00.000;2006-08-02 00:00:00.000;3;66,29;Destination QJVQH;5ª Ave. Los Palos Grandes 5678;Caracas;DF;10193;Venezuela
10269;89;5;2006-07-31 00:00:00.000;2006-08-14 00:00:00.000;2006-08-09 00:00:00.000;1;4,56;Ship to 89-B;8901 - 12th Ave. S.;Seattle;WA;10357;USA
10270;87;1;2006-08-01 00:00:00.000;2006-08-29 00:00:00.000;2006-08-02 00:00:00.000;1;136,54;Ship to 87-B;Torikatu 2345;Oulu;NULL;10351;Finland
10271;75;6;2006-08-01 00:00:00.000;2006-08-29 00:00:00.000;2006-08-30 00:00:00.000;2;4,54;Ship to 75-C;P.O. Box 7890;Lander;WY;10316;USA
10272;65;6;2006-08-02 00:00:00.000;2006-08-30 00:00:00.000;2006-08-06 00:00:00.000;2;98,03;Ship to 65-A;7890 Milton Dr.;Albuquerque;NM;10285;USA
10273;63;3;2006-08-05 00:00:00.000;2006-09-02 00:00:00.000;2006-08-12 00:00:00.000;3;76,07;Ship to 63-A;Taucherstraße 1234;Cunewalde;NULL;10279;Germany
10274;85;6;2006-08-06 00:00:00.000;2006-09-03 00:00:00.000;2006-08-16 00:00:00.000;1;6,01;Ship to 85-B;6789 rue de l'Abbaye;Reims;NULL;10345;France
10275;49;1;2006-08-07 00:00:00.000;2006-09-04 00:00:00.000;2006-08-09 00:00:00.000;1;26,93;Ship to 49-A;Via Ludovico il Moro 8901;Bergamo;NULL;10235;Italy
10276;80;8;2006-08-08 00:00:00.000;2006-08-22 00:00:00.000;2006-08-14 00:00:00.000;3;13,84;Ship to 80-C;Avda. Azteca 5678;México D.F.;NULL;10334;Mexico
10277;52;2;2006-08-09 00:00:00.000;2006-09-06 00:00:00.000;2006-08-13 00:00:00.000;3;125,77;Ship to 52-A;Heerstr. 9012;Leipzig;NULL;10247;Germany
10278;5;8;2006-08-12 00:00:00.000;2006-09-09 00:00:00.000;2006-08-16 00:00:00.000;2;92,69;Ship to 5-C;Berguvsvägen  1234;Luleå;NULL;10269;Sweden
10279;44;8;2006-08-13 00:00:00.000;2006-09-10 00:00:00.000;2006-08-16 00:00:00.000;2;25,83;Ship to 44-A;Magazinweg 4567;Frankfurt a.M.;NULL;10222;Germany
10280;5;2;2006-08-14 00:00:00.000;2006-09-11 00:00:00.000;2006-09-12 00:00:00.000;1;8,98;Ship to 5-B;Berguvsvägen  0123;Luleå;NULL;10268;Sweden
10281;69;4;2006-08-14 00:00:00.000;2006-08-28 00:00:00.000;2006-08-21 00:00:00.000;1;2,94;Ship to 69-A;Gran Vía, 9012;Madrid;NULL;10297;Spain
10282;69;4;2006-08-15 00:00:00.000;2006-09-12 00:00:00.000;2006-08-21 00:00:00.000;1;12,69;Ship to 69-B;Gran Vía, 0123;Madrid;NULL;10298;Spain
10283;46;3;2006-08-16 00:00:00.000;2006-09-13 00:00:00.000;2006-08-23 00:00:00.000;3;84,81;Ship to 46-A;Carrera 0123 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;10227;Venezuela
10284;44;4;2006-08-19 00:00:00.000;2006-09-16 00:00:00.000;2006-08-27 00:00:00.000;1;76,56;Ship to 44-A;Magazinweg 4567;Frankfurt a.M.;NULL;10222;Germany
