shipperid;companyname;phone
1;Shipper GVSUA;(503) 555-0137
2;Shipper ETYNR;(425) 555-0136
3;Shipper ZHISN;(415) 555-0138
4; Express Logistics;555-123-4567
5;Swift Shipping Solutions;555-789-0123
6; Global Freight Express;555-234-5678
7;Rapid Transport Services;555-678-9012
8; Dynamic Cargo Solutions;555-345-6789
9;Fast Logistics;(555) 123-4567
10;Express Shippers Co;(555) 987-6543
11;Swift Cargo Services;(555) 234-5678
12;Velocity Shipping Ltd;(555) 345-6789
13;Speedy Shipping Co;(555) 123-4567
14; Express Cargo Services;(555) 987-6543
15;Dynamic Deliveries LLC;(555) 234-5678
16; FastTrack Freight Co.;(555) 876-5432
17;Airborne Logistics Co.;(555) 987-6543
18;Oceanic Shipping Solutions;(555) 345-6789
19;TransGlobal Shippers;(555) 456-7890
20;AirCargo Express;(555) 890-1234
